
Argentina ar
Australia au
Austria at
Belgium be
brazil br
Bulgaria bg
Canada ca
China cn
Colombia co
Cuba cu
Czech_Republic cz
Egypt eg
France fr
Germany de
Greecce gr
Hong_Kong hk
Hungary hu
India in
Indonesia id
Ireland ie
Israel il
Italy it
Japan jp
Latvia lv
Lithuania lt
Malaysia my
Mexico mx
Morocco ma
Netherlands nl
New Zealand nz
Nigeria ng
Norway no
Philippines ph
Poland pl
Portugal pt
Romania ro
Russia ru
Saudi_Arabia sa
Serbia rs
Singapore sg
Slovakia sk
Slovenia si
South_Africa za
South_Korea kr
Sweden se
Switzerland ch
Taiwan tw
Thailand th
Turkey tr
UAE ae
Ukraine ua
United_Kingdom gb
United_States us
Venuzuela ve
